Customer_ID,Age,Gender,Occupation,City,Monthly_Income,Annual_Income,Family_Size,Current_Housing_Status,Plot_Budget,Preferred_Plot_Size_SqFt,Preferred_Location,Distance_to_City_Center_km,Purpose,Loan_Required,Expected_Purchase_Timeline,Lead_Source,Enquiry_Date,Previous_Enquiry,Site_Visit,Negotiation_Done,Booking_Done,Purchase_Probability,Purchase_Intent,Purchased,Purchase_Value
CUST_20988,21,Male,Unknown,Mumbai,131500,1578000,2,Owned Flat/House,7020000,1500,Any,33.8,Self-use,No,1-3 years,Google & Social Media Ads,2024-07-19,N,No,No,No,0.0639,Low,No,0
CUST_16662,29,Male,Real Estate & Construction,Kolkata,43800,525600,4,Owned Flat/House,"INR 2,000,000",600 sq.ft,Within City Limits,17.0,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,01-13-2025,yes,No,No,No,0.0668,Low,No,0
CUST_10543,50,M,Retail & Commerce,Noida,1.79 Lakh/pm,2149200,2,Owned Flat/House,5710000,1200 sq.ft,nan,20.3,Investment,Yes,0-6 months,Channel Partner / Broker,25-Oct-2024,No,Y,Yes,Yes,0.99,High,Yes,5550000
CUST_15741,44,Male,Retail & Commerce,Pune,45700,548400,4,Living with Parents,"2,300,000",1000,Periphery / Growth Corridor,40.9,Self-use,Y,6-12 months,Print / Newspaper Ad,2025-06-06,Yes,No,No,no,0.2293,Low,No,0
CUST_16911,38,Male,business owner,Ahmedabad,"₹219,400",2632800,4,Rented,Not Disclosed,1500,Suburbs,nan,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,Invalid Date,No,Yes,No,No,0.7678,High,Yes,8930000
CUST_11063,40,Male,Manufacturing & Engg,Mumbai,150600,1807200,4,Owned Flat/House,4790000,1800,Periphery / Growth Corridor,37.9,Investment,Y,6-12 months,Google & Social Media Ads,2024-08-15,No,No,No,No,0.206,Low,No,0
CUST_17141,67,male,Education & Academic,Pune,"142,400",1708800,4,Rented,49.2 Lakh,133 sq.yd,Suburbs,25.6,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,2025-05-27,No,No,No,No,0.1417,Low,No,0
CUST_19639,39,Male,IT Sector,Delhi,110900,1330800,3,Rented,36.0 Lakh,900 sq.ft,Periphery / Growth Corridor,32.5 km,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,18-May-2024,Y,No,No,No,0.254,Low,No,0
CUST_16035,25,F,Healthcare & Doctor,Delhi,72400,868800,3,Rented,"3,670,000",1000,Periphery / Growth Corridor,33.2,Self-use,Yes,0-6 months,Google & Social Media Ads,2024-10-02,N,1,No,No,0.5728,Medium,No,0
CUST_12638,27,Male,nan,Pune,34600,415200,3,Living with Parents,2000000,900,Suburbs,16.6,Self-use,Y,1-3 years,Magicbricks / Real Estate Portal,05-24-2025,Yes,no,No,No,0.0872,Low,N,0
CUST_21488,56,nan,None,Bengaluru,3.72 Lakh/pm,4467600,5,Rented,19650000,3000,Periphery / Growth Corridor,38.2,Self-use,N,6-12 months,Print / Newspaper Ad,2025-01-08,Yes,yes,yes,No,0.7998,High,Yes,19170000
CUST_10747,25,Male,Manufacturing & Engg,Kolkata,57900,694800,2,Living with Parents,3360000,111 sq.yd,Suburbs,N/A,Investment,No,0-6 months,Magicbricks / Real Estate Portal,11-Feb-2024,Yes,Yes,No,Yes,0.9336,High,Yes,3290000
CUST_17775,38,F,None,Noida,"85,200",1022400,3,Living with Parents,3130000,900,suburbs,17.0,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,22/09/2024,No,No,No,no,0.1491,Low,No,0
CUST_11047,46,Female,business owner,Hyderabad,?,1305600,5,Owned Flat/House,"INR 5,080,000",1500 sq.ft,Suburbs,22.3,Self-use,Yes,0-6 months,Channel Partner / Broker,2025-04-21,no,No,N,No,0.3581,Medium,no,0
CUST_12355,21,Male,Software Engineer,Mumbai,96700,1160400,1,Rented,3340000,600,Suburbs,-17.6,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,2024-04-08,No,Yes,Yes,Yes,0.9895,High,yes,3190000
