Scheme_ID,Location,Plot_Size_SqFt,Price_INR,Monthly_EMI_INR,Park,Clubhouse,Distance_from_Metro_km,Advertising_Budget_INR,Expected_Leads,Expected_Bookings,Estimated_Conversion_Pct,Demand_Level,Scheme_Success_Score,Target_Age_Group,Most_Likely_Buyers
SCH_0101,Delhi (Outer/Bawana),800,1320000,9200,Yes,No,3.9,1500000,3230,602,18.6,HIGH,79,25-38,First-time Buyers & Investors
SCH_0102,Gurugram (SPR/Sohna),1800,8270000,57400,Yes,Yes,16.2,1500000,2335,348,14.9,HIGH,79,40-60,Affluent Investors & Luxury Homes
SCH_0103,Kolkata (New Town/Rajarhat),1500,3030000,21000,Yes,No,5.5,750000,1267,227,17.9,MEDIUM,74,25-38,First-time Buyers & Investors
SCH_0104,Bengaluru (North),1000,6360000,44200,Yes,No,23.9,1000000,1015,99,9.8,LOW,41,32-48,Self-use (Villa) + Investment
SCH_0105,Greater Noida,2400,8150000,56600,No,No,23.4,1000000,1180,73,6.2,LOW,25,40-60,Affluent Investors & Luxury Homes
SCH_0106,Pune (Wagholi/Kharadi),1800,4860000,33700,Yes,No,27.6,2000000,1943,203,10.4,MEDIUM,62,32-48,Self-use (Villa) + Investment
SCH_0107,Gurugram (SPR/Sohna),1500,6180000,42900,No,No,6.8,500000,790,82,10.4,LOW,45,32-48,Self-use (Villa) + Investment
SCH_0108,Delhi (Outer/Bawana),2400,4170000,29000,Yes,No,8.4,1500000,2618,423,16.2,MEDIUM,68,32-48,Self-use (Villa) + Investment
SCH_0109,Bengaluru (East),2400,10250000,71200,No,Yes,22.8,750000,750,103,13.7,MEDIUM,57,40-60,Affluent Investors & Luxury Homes
SCH_0110,Bengaluru (East),1800,10970000,76200,No,No,5.0,350000,501,52,10.4,LOW,34,40-60,Affluent Investors & Luxury Homes
SCH_0111,Kolkata (New Town/Rajarhat),1800,3780000,26200,No,Yes,14.9,200000,280,59,21.1,MEDIUM,68,32-48,Self-use (Villa) + Investment
SCH_0112,Gurugram (SPR/Sohna),1000,5270000,36600,No,Yes,11.5,1000000,1814,300,16.5,HIGH,79,32-48,Self-use (Villa) + Investment
SCH_0113,Kolkata (New Town/Rajarhat),1200,4130000,28700,No,Yes,19.5,1000000,1285,110,8.6,LOW,47,32-48,Self-use (Villa) + Investment
